0,Atlético GO,0.1,0.2,Atlético,0.3,0.4,Athletico,0.5,0.6,Bahia,0.7,0.8,Botafogo,0.9,0.10,Corinthians,0.11,0.12,Vitória,0.13,0.14,Cruzeiro,0.15,0.16,Cuiabá,0.17,0.18,Flamengo,0.19,0.20,Fluminense,0.21,0.22,Fortaleza,0.23,0.24,Grêmio,0.25,0.26,Criciúma,0.27,0.28,Internacional,0.29,0.30,Palmeiras,0.31,0.32,Juventude,0.33,0.34,São Paulo,0.35,0.36,Vasco da Gama,0.37,0.38
Rubricas,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0,2024.0,2023.0,2022.0
Receita c/ Transmissão + Premiações,58.0,0.0,0.0,248.0,102.7334,188.1983664524013,81.0,122.6511,141.47835834,112.0,93.2987,24.128092119999998,0.0,144.6654,99.80256286,295.0,334.4077,194.26928149925294,84.0,0.0,0.0,138.0,98.58632520000002,31.80521234,56.0,78.6225,0.0,454.0,518.0,403.0,167.0,290.3791,106.84810482458913,118.0,107.9749,37.63967329048026,179.0,193.0,70.0,60.0,0.0,0.0,142.0,177.1627,122.63248394640343,234.0,275.7029,288.44037398,94.0,0.0,0.0,239.0,271.5097,154.8083336947172,146.0,124.7477,118.98993491829243
Publicidade e patrocínio,14.0,0.0,0.0,58.0,49.2701,83.77862764655283,60.0,40.8837,76.7712022,59.0,58.7048,19.74116628,0.0,40.8837,16.4509719,254.0,122.6511,86.2069936652935,42.0,0.0,0.0,58.0,47.36009740000001,31.80521234,31.0,6.60429,9.713464074962648,320.0,191.8389,164.509719,78.0,52.415,11.898993491829245,42.0,32.4973,7.285098056221986,65.0,74.0,44.0,10.0,0.0,0.0,75.0,68.1395,38.85385629985059,143.0,126.8443,149.15547856,26.0,0.0,0.0,109.0,48.2218,19.426928149925295,59.0,51.3667,19.426928149925295
Match-Day,11.0,0.0,0.0,81.0,49.2701,47.353137365442905,26.0,34.5939,26.32155504,83.0,72.22787000000001,19.74116628,0.0,23.0626,12.064046059999999,94.0,95.3953,8.499281065592317,10.0,0.0,0.0,51.0,28.0294454,35.09540672,13.0,17.401780000000002,0.04856732037481324,166.0,177.1627,139.28489542,29.0,40.8837,3.642549028110993,26.0,20.966,2.428366018740662,12.0,2.4,0.0,3.0,0.0,0.0,19.0,20.966,4.3710588337331915,53.0,66.0429,61.41696176,4.2,0.0,0.0,108.0,115.313,7.285098056221986,30.0,26.2075,3.278294125299894
Sócio-torcedor,3.0,0.0,0.0,32.0,28.304100000000002,35.2113072717396,59.0,47.1735,41.67579548,0.0,0.0,0.0,0.0,28.304100000000002,8.77385168,71.0,45.0769,15.784379121814302,38.0,0.0,0.0,32.0,29.9625106,32.9019438,1.6,0.0,0.0,78.0,94.347,78.96466512,70.0,59.7531,13.356013103073641,39.0,36.6905,13.356013103073641,99.0,86.0,53.0,20.0,0.0,0.0,86.0,0.0,0.0,74.0,61.8497,54.836573,5.8,0.0,0.0,52.0,22.0143,8.499281065592317,54.0,33.5456,35.2113072717396
Premiações,0.0,0.0,0.0,0.0,0.0,0.0,27.0,38.7871,88.83524826,0.0,0.0,0.0,0.0,22.0143,4.93529157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,143.6171,274.182865,41.0,0.0,0.0,46.0,40.8837,0.0,6.0,0.0,0.0,0.0,0.0,0.0,53.0,83.864,40.06803930922092,63.0,83.864,104.1894887,0.0,0.0,0.0,0.0,0.0,0.6070915046851655,51.0,20.966,14.570196112443972
Licenciamento da marca,0.0,0.0,0.0,11.0,0.0,0.0,50.0,28.723419999999997,85.54505388,7.0,18.65974,0.0,2.0,2.0966,0.767712022,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.5983912,0.0,7.0,0.0,0.0,98.0,61.8497,96.51236847999999,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,11.0,1.0,0.0,0.0,17.0,15.7245,8.499281065592317,37.0,37.7388,24.128092119999998,0.5,0.0,0.0,27.0,18.8694,16.998562131184634,0.0,9.01538,4.856732037481324
Receita Recorrente,86.0,0.0,0.0,430.0,229.5777,354.5414387361366,276.0,274.02561999999995,371.79196494,261.0,242.89111000000003,63.61042468,0.0,239.01240000000007,137.859144522,714.0,597.531,304.75993535195306,174.0,0.0,0.0,294.0,215.53676980000006,131.6077752,108.6,102.62857000000001,9.76203139533746,1116.0,1043.1983,882.2716480200002,344.0,443.4309,135.745660447603,225.0,198.12870000000004,60.70915046851655,403.0,386.4,178.0,94.0,0.0,0.0,339.0,281.9927,174.35668014557956,541.0,568.1786,577.97747942,130.5,0.0,0.0,535.0,475.92819999999995,207.01820309764142,289.0,244.88288,181.76319650273854
Negociação de atletas,7.0,0.0,0.0,183.0,116.3613,106.84810482458913,208.0,252.6403,110.76987746,36.0,5.87048,23.03136066,0.0,87.0089,4.93529157,338.0,263.12330000000003,229.48058877099254,1.7,0.0,0.0,75.0,20.2971846,17.54770336,114.0,0.0,0.0,107.0,317.6349,145.86528418,268.0,16.7728,60.70915046851655,0.0,35.6422,13.356013103073641,106.0,50.0,102.0,2.0,0.0,0.0,178.0,60.8014,82.5644446371825,440.0,196.0321,190.83127404,4.0,0.0,0.0,93.0,126.8443,183.34163441491998,174.0,131.35199,40.06803930922092
Receita Operacional,110.0,0.0,0.0,627.0,352.2288,467.46045860757744,450.0,538.19722,382.75927954,273.0,227.4811,109.673146,0.0,372.1465,155.73586732,1079.0,878.4754,516.0277789823907,178.0,0.0,0.0,345.0,235.8675,160.12279316,18.0,165.6314,25.49784319677695,1237.0,1379.5628,1219.56538352,661.0,473.8316,222.19549071477056,232.0,254.7369,93.49209172151548,593.0,424.0,288.0,70.0,0.0,0.0,510.0,392.0642,315.68758243628605,1206.5,879.5237,867.51458486,137.5,0.0,0.0,722.0,701.3127,392.1811120266169,453.0,361.6635,197.91183052736395
