Clubes,Atlético GO,Atlético,Athletico,Bahia,Botafogo,Corinthians,Vitória,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Criciúma,Internacional,Palmeiras,Juventude,São Paulo,Vasco,Média da Liga,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Receita c/ Transmissão + Premiações,58.0,248.0,54.0,112.0,0.0,295.0,84.0,138.0,56.0,454.0,167.0,118.0,179.0,60.0,142.0,234.0,94.0,239.0,146.0,159.88888888888889,,,,,
Receita c/ Publicidade e patrocínio,14.0,58.0,60.0,59.0,0.0,254.0,42.0,58.0,31.0,320.0,78.0,42.0,65.0,10.0,75.0,143.0,26.0,109.0,59.0,83.5,,,,,
Receita c/ Match-Day,11.0,81.0,26.0,83.0,0.0,94.0,10.0,51.0,13.0,166.0,29.0,26.0,12.0,3.0,19.0,53.0,4.0,108.0,30.0,45.5,,,,,
Receita c/ Sócio-torcedor,3.0,32.0,59.0,0.0,0.0,71.0,38.0,32.0,1.6,78.0,70.0,39.0,99.0,20.0,86.0,74.0,6.0,52.0,54.0,47.91764705882353,,,,,
Premiações,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,46.0,6.0,0.0,53.0,63.0,0.0,0.0,51.0,54.0,,,,,
Receita c/ Licenciamento da marca,0.0,11.0,50.0,7.0,0.0,0.0,0.0,15.0,7.0,98.0,0.0,0.0,48.0,1.0,17.0,37.0,1.0,27.0,0.0,26.583333333333332,,,,,
Receita Recorrente,86.0,430.0,276.0,261.0,0.0,714.0,174.0,294.0,108.6,1115.0,344.0,225.0,403.0,94.0,339.0,541.0,131.0,535.0,289.0,353.31111111111113,,,,,
Receita c/ Negociação de atletas,7.0,183.0,208.0,36.0,0.0,338.0,1.7,75.0,114.0,107.0,268.0,0.0,106.0,2.0,178.0,440.0,4.0,93.0,174.0,137.33529411764704,,,,,
Outras receitas,17.0,14.0,34.0,24.0,0.0,27.0,2.3,-24.0,18.0,15.0,49.0,7.0,84.0,26.0,7.0,225.5,3.0,94.0,10.0,35.15555555555555,,,,,
Receita Operacional,110.0,627.0,450.0,273.0,0.0,1079.0,178.0,345.0,204.6,1237.0,661.0,232.0,593.0,70.0,510.0,1206.5,138.0,722.0,453.0,504.95000000000005,,,,,
Pessoal e encargos sociais,31.0,244.0,108.0,294.0,0.0,368.0,72.0,200.0,92.0,386.0,371.0,97.0,165.0,81.0,203.0,362.0,61.0,265.0,234.0,201.88888888888889,,,,,
Direitos de imagem,15.0,80.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,138.0,0.0,46.0,99.9,0.0,69.0,87.0,20.0,110.0,0.0,65.71818181818182,,,,,
Despesas com Operação de jogos,0.0,59.0,17.0,54.0,0.0,0.0,16.0,21.0,16.0,125.0,72.0,24.0,76.1,0.0,22.0,30.0,0.0,71.0,0.0,46.392307692307696,,,,,
Despesas gerais e administrativas,13.0,46.0,138.0,37.0,0.0,106.0,86.0,65.0,14.0,113.0,52.0,40.0,90.0,4.0,76.0,179.0,11.0,84.0,103.0,69.83333333333333,,,,,
Depreciação e amortização,7.0,113.0,44.0,2.5,0.0,83.0,4.0,87.0,10.0,213.0,37.0,53.0,47.0,0.0,79.0,116.0,1.0,98.0,95.0,64.08823529411765,,,,,
Outras despesas,91.0,165.0,62.0,135.0,0.0,315.0,6.0,118.0,11.0,217.0,60.0,15.0,10.0,12.0,31.0,159.0,9.0,289.0,66.0,98.38888888888889,,,,,
Despesas totais,157.0,707.0,398.0,522.5,0.0,872.0,213.0,491.0,143.0,1192.0,592.0,275.0,488.0,97.0,480.0,933.0,102.0,917.0,498.0,504.30555555555554,,,,,
Resultado,-45.0,-299.0,23.0,-247.0,0.0,-182.0,-41.0,-170.0,61.599999999999994,-1.0,0.0,-80.0,44.0,-29.0,-34.0,198.0,34.0,-288.0,-92.0,-67.49411764705883,,,,,
Geração de Caixa Operacional,39.0,-8.0,114.0,-27.0,0.0,143.0,19.0,284.0,0.0,409.0,36.0,-4.0,122.0,19.0,150.0,383.0,44.0,193.0,0.0,119.75,,,,,
Fluxo de Caixa Livre,23.0,-261.0,-17.0,-333.0,0.0,-79.0,-5.0,-112.0,0.0,-154.0,-41.0,-4.0,-13.0,13.7,-60.0,92.0,32.7,65.0,0.0,-53.287499999999994,,,,,
Investimentos - Pgto de  Compra de Jogadores,7.0,218.0,102.0,296.0,0.0,208.0,19.5,332.0,0.0,382.0,73.0,0.0,130.0,1.3,197.0,212.0,2.6,111.0,0.0,152.76000000000002,,,,,
Provisão p/ Contingências,6.0,33.0,10.0,42.0,0.0,164.0,63.0,22.0,2.0,96.0,23.0,0.0,15.0,0.2,43.0,32.0,1.0,17.0,68.0,37.48235294117647,,,,,
