Clubes,América,Athletico,Atlético,Bahia,Botafogo,Corinthians,Coritiba,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Goiás,Internacional,Palmeiras,Santos,São Paulo,Vasco,Média da Liga
Receita c/ Transmissão + Premiações,73.0,80.0,98.0,89.0,138.0,319.0,51.0,94.04400000000001,75.0,463.0,276.5,103.0,193.0,56.1,169.0,263.0,97.0,259.0,119.0,158.7181052631579
Receita c/ Publicidade e patrocínio,33.0,39.0,47.0,56.0,39.0,117.0,14.0,45.178000000000004,6.3,183.0,50.0,31.0,74.0,23.35,65.0,121.0,78.0,46.0,49.0,58.780421052631574
Receita c/ Match-Day,3.1,33.0,47.0,68.9,22.0,91.0,12.0,26.738,16.6,169.0,39.0,20.0,2.4,6.75,20.0,63.0,26.0,110.0,25.0,42.18357894736842
Receita c/ Sócio-torcedor,0.0,45.0,27.0,0.0,27.0,43.0,27.0,28.582,0.0,90.0,57.0,35.0,86.0,8.0,73.0,59.0,19.0,21.0,32.0,42.348875
Premiações,0.0,37.0,0.0,0.0,21.0,12.0,0.0,0.0,0.0,137.0,155.0,39.0,0.0,11.0,80.0,80.0,0.0,0.0,20.0,59.2
Receita c/ Licenciamento da marca,0.0,27.4,0.0,17.8,2.0,17.0,0.0,11.064,0.0,59.0,1.3,19.0,31.0,2.5500000000000003,15.0,36.0,1.4,18.0,8.6,17.8076
Receita Recorrente,109.1,224.4,219.0,231.70000000000002,228.0,587.0,104.0,205.606,97.9,964.0,423.8,208.0,386.4,96.75,342.0,542.0,202.4,454.0,234.0,308.42400000000004
Receita c/ Negociação de atletas,62.0,241.0,111.0,5.6,83.0,251.0,15.2,19.362000000000002,0.0,303.0,16.0,34.0,50.0,4.5,58.0,187.0,174.0,121.0,125.3,103.38677777777778
Outras receitas,17.0,48.0,6.0,-21.0,44.0,0.0,40.80000000000001,0.0,31.0,18.0,12.0,2.0,-12.399999999999977,-11.0,-25.0,110.0,47.599999999999994,94.0,-14.0,32.25
Receita Operacional Líquida,188.0,513.4,336.0,217.0,355.0,838.0,160.1,225.0,158.0,1316.0,452.0,243.0,424.0,90.0,374.0,839.0,424.0,669.0,345.0,429.8157894736842
Pessoal e encargos sociais,92.0,103.0,163.0,183.0,171.0,261.0,85.1,95.0,99.0,339.0,127.0,77.0,128.0,43.0,164.0,319.0,147.0,187.0,124.0,153.00526315789475
Direitos de imagem,0.0,30.0,53.0,0.0,58.0,0.0,34.0,0.0,0.0,124.0,54.0,37.0,103.0,7.0,32.0,86.0,33.0,79.0,36.0,54.714285714285715
Despesas com Operação de jogos,0.0,18.0,43.0,0.0,16.0,40.0,6.0,21.0,0.0,125.0,18.0,13.0,23.0,10.0,9.0,26.0,25.0,57.0,30.0,30.0
Despesas gerais e administrativas,84.0,80.0,34.0,25.0,105.0,74.0,58.0,115.0,21.0,131.0,58.0,63.0,89.0,26.0,76.0,86.0,59.0,45.0,72.0,68.47368421052632
Depreciação e amortização,16.0,43.0,79.0,1.3,92.0,81.0,0.4,34.0,0.0,200.0,4.0,38.6,5.3,2.5,49.0,106.0,49.5,79.0,59.0,52.2
Outras despesas,5.0,154.0,255.0,72.0,75.0,214.0,24.5,40.0,0.0,17.0,280.0,55.0,65.69999999999999,15.0,43.0,154.0,105.5,206.0,93.0,104.09444444444445
Despesas totais,197.0,428.0,627.0,281.3,517.0,672.0,208.0,305.0,120.0,936.0,541.0,284.0,414.0,104.0,373.0,777.0,419.0,653.0,415.0,435.33157894736837
